BEAM - szerokość całkowita,DWT - nośność statku,GT - pojemność statku brutto,LOA - długość statku,Nazwa statku,NT - pojemność statku netto,Maksymalne zanurzenie letnie,Numer IMO,Numer MMSI,Sygnał wywoławczy,Typ statku
42.04,105543,57081,228.6,NORDLOTUS,31074,14.79,9624067,255806138,CQAC8,Crude Oil Tanker
8.5,188,242,31.32,HIPPO,72,3.8,8422058,377207000,J8B6477,Tug
12.5,3250,2377,89,FRANCISCA,1409,5,9148166,212617000,5BSZ4,General Cargo Ship
44,112459,63532,279.84,JATULI,33498,15.12,9892444,230688000,OJTF,Crude Oil Tanker
20,3600,1390,60.43,Conrad 2,417,3.65,,,,
43.8,113306,63555,249.89,PACIFIC GARNET,35973,15.22,9893084,538009203,V7A4445,Crude/Oil Products Tanker
43.82,109290,66563,248.56,AMUNDSEN SPIRIT,29517,15.02,9438858,311027700,C6YM4,Shuttle Tanker
16.14,8137,5667,118.14,TRITO NAVIGATOR,3048,7.2,9631357,245237000,PCOU,General Cargo Ship
12.5,3250,2377,89,FRANCISCA,1409,5,9148166,212617000,5BSZ4,General Cargo Ship
32.2,47470,28068,183.28,BOND,,12.517,9311725,,5LIO9,Products Tanker
32.24,49998,29365,183.06,ST. CLEMENS,13829,13.29,9790361,374057000,3FSR7,Chemical/Products Tanker
23.23,14488,12838,153.47,BBC CORAL,5968,9.1,9563720,305853000,V2FY6,General Cargo Ship
10.95,2500,1559,83.16,WILSON LAHN,815,4.77,9198458,314259000,8PUO,General Cargo Ship
29.5,3963,40855,212.8,SILVER DAWN,14174,6.7,9857937,311001044,C6EZ5,Passenger/Cruise
13.17,4210,2844,89.76,KAJA,1568,5.68,9130200,229860000,9HA3670,General Cargo Ship
20.65,3414,9233,99.9,ISAR HIGHWAY,2940,5.5,9195145,212949000,P3SR8,Vehicles Carrier
9.6,412,,47.5,ULVON,,2.4,,,,
13.2,3600,2560,88,BALTIC ANKA,1193,5,9986506,,CQ2248,General Cargo Ship
29.99,5285,42830,225.62,EUROPA 2,14406,6.5,9616230,229378000,9HA3283,Passenger/Cruise
15.95,5350,4135,90,BIOMAR,2160,6,9956276,212365000,5BPY6,General Cargo Ship
50.06,157644,93759,284.95,BODIL KNUTSEN,50197,16.52,9472529,257998000,LAMU8,Shuttle Tanker
44.04,109999,65145,250,DF MONTMARTRE ,34177,14.54,9941714,636021310,5LDI3,Crude/Oil Products Tanker
43.8,112459,62172,250,ASPEN,35364,15.1,9818058,636023947,5LQF3,Crude Oil Tanker
13.44,4114,2862,94.7,HUMBER SPRINTER,1433,5.69,9467172,245741000,PBRJ,General Cargo Ship
43.8,112459,62172,250,ASPEN,35364,15.1,9818058,636023947,5LQF3,Crude Oil Tanker
48.04,156989,82605,274.3,KASOS,52005,17.15,9800257,636018206,D5OQ5,Crude Oil Tanker
50.06,157644,93759,284.95,BODIL KNUTSEN,50197,16.52,9472529,257998000,LAMU8,Shuttle Tanker
42.03,104611,58442,243.56,EMERALD I,30588,14.77,9330604,636020913,5LBI5,Crude Oil Tanker
30,34032,22223,180,ADELINA,12042,9.8,9595785,215521000,9HA2750,Bulk Carrier
40,72968,71892,293.19,Marcos V,29112,14.02,9307059,371519000,3ECH9,Container Ship (Fully Cellular)
14,6665,3990,110.78,HARUN,2208,6.51,9361380,209531000,5BEN5,General Cargo Ship
14.64,5500,3603,101.15,LONGROSE,1910,6.15,9521368,246227000,PBUB,General Cargo Ship
26.24,33169,20312,175.6,FITNES,7085,10.81,9490105,305530000,V2ER8,"Bulk Carrier, Self-discharging"
44,111963,60172,237,SEARHYTHM,33201,15.06,9880350,538009054,V7A4248,Crude Oil Tanker
16,6257,4364,121.62,AGATH,2062,6.4,9537642,209168000,5BFJ6,Chemical/Products Tanker
12.57,3005,1999,82.04,ROSEBURG,1203,4.94,8817370,305184000,V2PS2,General Cargo Ship
59,213971,194849,399,MAJESTIC MAERSK,89317,17,9619919,219018501,OWJD2,Container Ship (Fully Cellular)
44.03,113004,62557,249.97,STAVANGER TS,34908,15,9737395,248022000,9HA4479,Crude Oil Tanker
23.79,18531,13283,148.71,STEN SKAGEN,5850,9.27,9460239,236514000,ZDJD9,Chemical/Products Tanker
12.5,2953,2056,88.95,RIX AMETHYST,1168,4.34,9173185,209114000,5BQN4,General Cargo Ship
32.2,49999,29000,183.06,Castor,13732,13.3,9864356,538008525,V7A2468,Chemical/Products Tanker
13.2,5065,2999,94.98,PEAK SKORPO,1714,6.19,9190353,257114000,LAWN7,General Cargo Ship
51.3,153745,154300,366,COSCO SHIPPING KILIMANJARO,84334,15.5,9757852,477139900,VRRF5,Container Ship (Fully Cellular)
16.5,4135,3244,99.98,POLYALAND,1554,4.6,9199385,236150000,ZDEP9,General Cargo Ship
12.4,3246,1996,84.78,ANJA,1094,4.81,9115987,212519000,5BSY4,General Cargo Ship
56.4,174239,171542,397.71,EMMA MAERSK,55396,16.02,9321483,220417000,OYGR2,Container Ship (Fully Cellular)
22.1,10114,9859,149.92,BALTIC HEATHER,,8.7,9181144,311000973,C6EQ7,Refrigerated Cargo Ship
12,1751,,64.8,VIRSAITIS (A53),,4.8,,,,
18.94,7944,6326,133.24,MAIKE D,3251,7.28,9226372,636092635,D5IL7,Container Ship (Fully Cellular)
13,3269,2481,87.42,WILSON DVINA,1206,5.08,9005742,314220000,8PTC,General Cargo Ship
27,28148,19213,175,AFRICAN KALMIA,9474,8.7,9666431,636015892,D5DI9,Bulk Carrier
44.04,112939,62557,249.97,SOLA TS,34908,15.02,9724350,248020000,9HA4480,Crude Oil Tanker
15.95,9567,6130,132.23,VARNEBANK,3608,7.5,9213739,244171000,PBAH,General Cargo Ship
15.23,4624,3364,95.9,CAROLINE A,1303,5.8,9570565,247353200,IBGF,Chemical/Products Tanker
23.8,35885,20465,199.8,FEDERAL SATSUKI,12136,10.85,9515101,538004642,V7YE6,Bulk Carrier
18.23,5891,5320,117.03,ECO DOMINATOR,1995,6.81,9789532,538006873,V7SJ5,LPG Tanker
,,,,,,,9789532,,,LPG Tanker
32.26,56686,32987,189.499,BREEZE,19231,12.8,9455650,636018996,A8RW2,Bulk Carrier
24.2,19803,11733,141,CHEM ROTTERDAM,6115,9.7,9640140,,,Chemical/Products Tanker
24.2,19803,11733,141,CHEM ROTTERDAM,6115,9.7,9640140,538005478,V7EJ3,Chemical/Products Tanker
14.5,6050,4255,114.4,KILLU,2341,6.04,9454826,304625000,V2RC2,General Cargo Ship
20.02,1282,709,40.2,TRD-GDY-21,0,2.4,,-,-,
14.5,6050,4255,114.4,KILLU,2341,6.04,9454826,304625000,CQEO7,General Cargo Ship
13.43,5134,3500,99.48,LUNAMAR,1500,6.16,9551662,255805988,CQIK8,General Cargo Ship
15.44,1490,2373,78,ARMADA 78 05,712,5.3,9924285,563185400,9V8702,Offshore Support Vessel
26.8,17892,17488,168.11,OOCL RAUMA,8125,9.61,9462794,246650000,PBWS,Container Ship (Fully Cellular)
14.4,6100,4206,113.76,STAVFJORD,2282,6.33,9321380,244140000,PBIZ,General Cargo Ship
14.4,6100,4206,113.76,STAVFJORD,2282,6.33,9321380,244140000,PBIZ,General Cargo Ship
18.23,5891,5320,117.03,ECO DOMINATOR,1995,6.81,9789532,538006873,V7SJ5,LPG Tanker
13.33,4054,2613,89,NORDIC SUND,1237,5.65,9375977,258714000,LAIR6,Chemical/Products Tanker
15.43,7953,5040,119.98,KAROLIINA,2681,7.05,9381380,305201000,V2QZ6,General Cargo Ship
14.4,4400,2156,93.5,JOHANN,1418,5.18,9978901,304707000,V2RC4,General Cargo Ship
26.8,17791,17488,168.11,OOCL RAUMA,8125,9.6,9462794,255916486,CQ2755,Container Ship (Fully Cellular)
15.2,4815,3610,100.71,LUCA,1783,6.02,9286712,304408000,V2QX7,General Cargo Ship
22.03,15652,10549,149.6,ATLANTIC WIND,4082,8.7,9341316,236111974,ZDNM4,Chemical/Products Tanker
21,12660,9618,138.48,BBC OREGON,4260,8,9501265,305462000,V2EK7,General Cargo Ship
13,4297,2715,90,IMI,1586,5.61,9063873,308192000,C6VT4,General Cargo Ship
13.4,3789,2780,89.25,DELFIN,1587,5.67,9173161,275510000,YLRA,General Cargo Ship
8.9,543,,52,SCHIEDAM (M860),,3.8,,,,
18,7843,7138,130.18,BBC LISBON,2266,7,9513634,305688000,V2FI8,General Cargo Ship
32.26,,45259,229,ALAN,26966,14.45,9528562,,V7ZY2,Bulk Carrier
44.03,115048,62845,249.9,LUGGATI,34739,14.82,9281009,311648000,C6FY8,Crude Oil Tanker
44.034,115048,62845,249.9,LUGGATI,34739,14.819,9281009,,,Crude Oil Tanker
27,20272,17982,169.95,CONTAINERSHIPS NORD,9861,9.6,9813993,209339000,5BBB5,Container Ship (Fully Cellular)
26.9,20272,17982,169.95,CONTAINERSHIPS NORD,9861,9.6,9813993,232046824,MNJM6,Container Ship (Fully Cellular)
29.6,28000,24000,204.2,CMA CGM MERMAID,9000,10,9961283,256708000,9HA594,Container Ship (Fully Cellular)
22.83,12337,11619,147,INDUSTRIAL SWIFT,4391,8.1,9741152,636017393,D5KR7,General Cargo Ship
21.3,11487,9131,141.2,LINDA,4205,8.59,9354325,230984000,OJML,Container Ship (Fully Cellular)
14,6665,3990,110.78,NEUSEBORG,2208,6.51,9341756,246535000,PHGG,General Cargo Ship
14,5744,3870,106.12,CLARA,2132,6.13,9312676,304444000,V2QX8,General Cargo Ship
38,95342,50625,234.98,KM NAGOYA,31268,14.421,9615212,566626000,9v9970,Bulk Carrier
32.29,60618,34009,199.98,TAI SUMMIT,19892,12.82,9727144,374458000,3FZX4,Bulk Carrier
32.3,63301,35812,199.99,HOPA,21224,13.3,9684213,229554000,9HA3402,Bulk Carrier
14.4,5744,3870,106.12,CLARA,2132,6.13,9312676,304444000,V2QX8,General Cargo Ship
23.65,14499,12411,144.76,ICE RUNNER,,10,8311120,311001076,C6FD4,Refrigerated Cargo Ship
45.04,114070,62826,252.26,AFFINITY V,35833,15.12,9645401,566393000,9V3627,Crude Oil Tanker
14.99,8660,5065,119.5,ARKLOW BANK,2655,7.19,9638769,244810323,PCWW,General Cargo Ship
26.52,11623,25609,187.06,FIONIA SEA,7682,6.8,9395343,255816000,CQUW,Ro-Ro Cargo Ship
15,5641,3603,101,LONGRUN,1910,6.15,9556313,244790509,PCEJ,General Cargo Ship
29.6,28000,24000,204.2,CMA CGM MERMAID,9000,10,9961283,,,Container Ship (Fully Cellular)
10.9,2078,1472,79.8,HELGA,726,3.99,8402577,341832000,V4ZB4,General Cargo Ship
44.04,112459,63532,249,JATULI,33498,15.12,9892444,230688000,OJTF,Crude Oil Tanker
14,5750,3870,106.12,AMBER SKY,2132,6.14,9312688,255806387,CQEH8,General Cargo Ship
12.39,3793,2451,87.95,RIX ATLANTIC,1294,5.6,9194270,209151000,5BWM4,General Cargo Ship
30.05,34529,22988,180,BRIGHT STAR,11574,9.9,9481960,,D5QA2,Bulk Carrier
44.033,114575,64461,249.9,RAN DF,35938,15.222,9953470,241869000,SVDU7,Crude Oil Tanker
19.8,11215,7366,129.5,ASTREA,3589,8.15,9488839,266466000,SBDA,Chemical/Products Tanker
38.02,19090,72900,199.9,SIEM ARISTOTLE,22753,10.17,9841029,636018304,D5PC8,Vehicles Carrier
13.4,6734,3991,111.4,KNARRLAGSUND,1956,5.74,9268849,257039490,LAFW8,General Cargo Ship
15.2,4267,2995,90.33,RIX VENTA,1503,5.64,9240249,209977000,5BMV5,General Cargo Ship
15.2,4267,2995,90.33,RIX VENTA,1503,5.64,9240249,209977000,5BMV5,General Cargo Ship
32.228,,29434,182.9,CLEAROCEAN MAGIC ,13826,13.315,9849382,,D5RX8,Chemical/Products Tanker
23.2,14655,11746,157.6,MUNKSUND,5839,8.6,9429223,636020532,D5ZQ2,Container Ship (Fully Cellular)
9,,246,190,EMS SUN,,3.8,,,CQ2230,Tug
15.8,3263,,100.5,MOSEL (A512),,4.1,,,,
61.3,215000,237000,399.99,OOCL DENMARK,71000,16.5,9922548,,VRWA8,Container Ship (Fully Cellular)
18.99,4400,1546,72.3,EMS PONTON 7,,3.59,,,,"Accommodation Pontoon, non-propelled"
48.04,157444,81360,274,DELTA OCEAN,52692,17.15,9408475,636019889,D5WQ3,Crude Oil Tanker
23.3,14717,11746,157.6,MUNKSUND,5839,8.6,9429223,636020532,D5ZQ2,Container Ship (Fully Cellular)
51.06,176515,169423,397.88,APL TEMASEK,76852,16,9631955,566796000,S6LT9,Container Ship (Fully Cellular)
23.4,13031,10318,151.72,BERNHARD SCHEPERS,5391,8,9492505,305741000,V2HS6,Container Ship (Fully Cellular)
27.2,13661,16242,148,ECO PONENTE,4928,8.1,9985966,228468600,FMZZ,Container Ship (Fully Cellular)
32.228,49995,29434,182.9,CLEAROCEAN MAGIC,13826,13.315,9849382,636018900,D5RX8,Chemical/Products Tanker
51.06,176515,169423,397.88,APL TEMASEK,76852,16,9631955,566796000,S6LT9,Container Ship (Fully Cellular)
13.6,4105,2820,89.72,KARION,1548,5.68,9155884,305476000,V2EM3,General Cargo Ship
15,5641,3603,101,LONGRUN,1910,6.15,9556313,244790509,PCEJ,General Cargo Ship
9.2,310,274,32.62,LEOPARD,82,3.7,6819697,576909000,YJRA7,Tug
22.8,17991,12770,149.9,SAANA,5838,9.36,9739836,230706000,OJUN,Chemical/Products Tanker
29.44,31727,19734,176.82,ISKENDERUN-M,11389,9.56,9206140,370751000,3EBZ7,Bulk Carrier
32.24,64215,36455,199.9,WECO ESTHER,21011,13.525,9951654,,5LHR5,Bulk Carrier
21,13670,8882,145.34,KIVALLIQ W.,4617,8.45,9187409,538090656,V7A6402,Chemical/Products Tanker
12.9,3694,2446,87.9,HAGLAND BOSS,1369,5.5,9171058,249934000,9HLE5,General Cargo Ship
14.99,8661,5065,119.49,ARKLOW BRAVE,2655,7.19,9638800,244730944,PBPR,General Cargo Ship
14.5,7500,5044,125.79,OSTBENSE,2718,6.5,9566784,305631000,V2FC5,General Cargo Ship
16.6,6315,5197,128,KAREWOOD BRAVE,2796,4.86,9281516,,C6CY8,General Cargo Ship
30.2,3666,32477,198.15,SEABOURN QUEST,10657,6.4,9483126,311038900,C6YZ5,Passenger/Cruise
21,13670,8882,145.34,KIVALLIQ W.,4617,8.45,9187409,538090576,XJAD,Chemical/Products Tanker
12,3246,1996,84.78,ANJA,1094,4.81,9115987,212519000,5BSY4,General Cargo Ship
42.03,108386,58054,246.6,BONITA,33521,15.16,9297541,538009978,V7A5415,Crude Oil Tanker
13.25,5000,2999,95.04,KRISTEL,1714,6.2,9191747,229246000,9HA3171,General Cargo Ship
9.2,0,274,32.62,LEOPARD,82,3.696,6819697,576909000,YJRA7,Tug
9.2,687,,54.4,PEGNITZ (M1090),,3,,,,
44,113306,63555,249.89,PACIFIC SAPPHIRE,35973,15.22,9893058,538009200,V7A4442,Crude/Oil Products Tanker
16.8,6480,4242,109,GUNGA,1992,6.65,9479668,210855000,5BYP3,Chemical/Products Tanker
32.26,55618,32672,187.88,BULK SACHUEST,18529,12.868,9483231,636022222,A8VD4 ,Bulk Carrier
23,20002,12578,155,AGIOS PORFYRIOS,6861,9.16,9244075,269684000,D5XQ8,Bulk Carrier
10.5,485,,52.5,SKALA,,3.7,,,,
16,3703,3589,95,ECO CORSAIR,1076,5.51,9710311,210155000,5BKP5,LPG Tanker
42.03,108983,60185,243,PS GENOVA,33762,15.35,9439383,229903000,9HA5627,Crude/Oil Products Tanker
20,13050,8890,138.6,SACURA,4679,8,9497000,636020540,D5ZQ9,Bulk Carrier
12.9,3694,2446,87.9,HAGLAND BOSS,1369,5.5,9171058,249934000,9HLE5,General Cargo Ship
21.03,12720,9627,138.53,BBC MARYLAND,4261,8,9433298,305459000,V2EK4,General Cargo Ship
11.38,2310,1536,82.11,DANICA HAV,774,4.18,8401535,308924000,C6ML9,General Cargo Ship
16.5,5916,3751,99,DC OSTEND,1125,6.56,8900713,244870327,PDCO,Trailing Suction Hopper Dredger
44.04,114055,63758,249.9,SEARANGER,35001,15.12,9759800,249981000,9HA4460,Crude/Oil Products Tanker
14.4,4450,2984,89.95,HAGLAND CHIEF,1598,6.08,9521344,257207000,LACT8,General Cargo Ship
17.68,13449,8601,148.64,MUHARREM DADAYLI,4918,8,9558581,374045000,3FAA4,General Cargo Ship
32.26,51687,29841,188.5,BONAS,15810,12.11,9401972,,LADL8,General Cargo Ship (Open Hatch)
13.35,5098,2911,89,ALICE,1453,6.15,9677399,244790715,PCVA,General Cargo Ship
26.9,20254,17982,169.95,CONTAINERSHIPS ARCTIC,9861,9.6,9818400,209717000,5BJD5,Container Ship (Fully Cellular)
18.5,7399,5395,109.6,NORMA,2235,7.2,9870666,210048000,5BPB5,Chemical/Products Tanker
48.05,159018,81346,274.34,SEAWAYS SAN SABA,52264,17.16,9593426,538004027,V7UT8,Crude Oil Tanker
12.9,3666,2452,87.83,WILSON DUNDEE,1369,5.49,9390159,314635000,8PBL2,General Cargo Ship
32.23,45994,28725,181.53,COETIVY,12012,12.17,9459230,538010268,V7A5826,Products Tanker
,,,,CONRAD 2,,,,,,
44,115281,64555,249.9,DALI,35322,15,9787936,319147800,ZGHZ3,Crude/Oil Products Tanker
14.4,5744,3870,106.12,CLARA,2132,6.13,9312676,304444000,V2QX8,General Cargo Ship
13.17,4217,2810,89.69,RIX EXPLORER,1562,5.72,9167356,209681000,5BHH5,General Cargo Ship
25.2,21402,16641,168.14,SINGELGRACHT,6700,10.74,9197375,245546000,PCGM,General Cargo Ship
31.05,35829,23460,180,MESHKA,12924,10.5,9588380,314685000,8PD09,Bulk Carrier
13.6,4105,2820,89.72,KARION,1548,5.68,9155884,305476000,V2EM3,General Cargo Ship
32.279,77126,40937,224.98,BULK SWEDEN,25984,14.446,9691589,255915819,CQ2277,Bulk Carrier
23.64,29691,20603,190,SOLINA,9299,10.22,9496252,311058500,C6ZL4,Bulk Carrier
10.4,1850,1435,79.99,FIGARO,718,3.85,9240732,275530000,YLRY,General Cargo Ship
42.01,20023,23134,173,BIGLIFT BAFFIN,6940,8.12,9758557,244830814,PCZI,Heavy Load Carrier
27.44,38734,24230,184,STI POPLAR,10458,11.92,9696589,538005408,V7DO8,Chemical/Products Tanker
32.305,50532,40372,260.71,MSC CAGLIARI IV,24504,12.6,9318187,,,Container Ship (Fully Cellular)
30,35856,24212,180,MOTHER M,12112,10.35,9626613,538004721,V7YS3,Bulk Carrier
16.53,9769,6540,134.5,MEDEMBORG,3686,7.12,9142514,244850900,PBFP,General Cargo Ship
45.04,181458,92752,291.98,BERGE ISHIZUCHI,60504,18.2,9446570,232045296,MMUZ5,Bulk Carrier
25,20073,16023,170.02,JUDITH,6251,9.5,9359260,212006000,5BKY2,Container Ship (Fully Cellular)
15.2,4684,3666,104.23,FRIENDLAND,2009,5.5,9246906,275517000,YLRH,General Cargo Ship
12.6,3789,2545,88.78,MADICKEN,1460,5.5,9195755,210090000,5BPY5,General Cargo Ship
52,155426,151993,366.07,CSCL SATURN,80514,15.5,9467299,477274400,VRJS5,Container Ship (Fully Cellular)
12.7,2064,1843,80.71,LILL,950,4.27,8209743,257975000,LAVF7,General Cargo Ship
22.5,16817,11627,152.5,PEACE,5709,7.45,9553983,207138000,LZEV,General Cargo Ship
12.67,3850,2597,88.6,LOTTA,1460,5.43,9629809,210586000,5BEF6,General Cargo Ship
12.65,3808,2518,89.75,SVEN,1423,5.49,9953949,255804490,CQSD,General Cargo Ship
12.52,3680,2437,82.5,INGRID B,993,5.34,9279020,257211000,LAVU7,General Cargo Ship
26.8,17791,17488,168.11,ELBSPRING,8125,,9462794,255916486,CQ2755,Container Ship (Fully Cellular)
11.6,383,498,35.75,RADUGA ORION,149,4.4,9220550,210484000,5BAZ6,Anchor Handling Tug Supply
27.2,28344,17019,169.37,MARITIME VICTORY,10108,9.819,9550292,357437000,3EVP9,Bulk Carrier
20,,1390,60.3,TRD-VOYAGER,,3.65,,,,"Bulk Cement Barge, non propelled"
11,300,245,31.68,YO-YO,73,1.77,,,,
15.2,4202,2984,89.97,TRAVETAL,1769,5.1,9471991,275539000,YLSB,General Cargo Ship
61.45,220766,236583,399.9,CMA CGM CHAMPS ELYSEES,101823,16,9839131,228386800,FLZF,Container Ship (Fully Cellular)
44,114661,63485,249.97,MINERVA OLYMPIA,35025,14.84,9787194,,,Crude Oil Tanker
49.04,158692,82648,279.31,MALIBU,51896,17,9776731,636021782,5LFQ7,Crude Oil Tanker
8.31,47,177,29.32,MOCNY,54,3.02,7734789,275031016,YL3139,Tug
19.63,7726,7743,131.25,GREEN GUATEMALA,3726,9.3,8912144,308868000,C6WA6,Refrigerated Cargo Ship
19.6,12427,7404,115.33,ADAPEARL,3747,8.79,9539432,636019711,D5VU2,Bulk Carrier
15.2,5499,4102,106.86,KETLIN,1851,5.25,9342152,248622000,9HA4728,General Cargo Ship
44.04,114601,63536,250,PROMETHEUS LIGHT,35033,14.84,9801976,538008103,V7HZ5,Crude Oil Tanker
12.5,3234,2055,89.99,FAST SUS,1117,4.64,9136096,205482000,ONEO,General Cargo Ship
12.5,2999,1960,89.03,HAV ZANDER,950,4.57,9001849,311014900,C6XN5,General Cargo Ship
15.4,8491,5418,126.13,MARIETJE MARSILLA,2696,6.98,9458248,246754000,PCIE,General Cargo Ship
9.2,687,,54.4,WEILHEIM (M1059),,3,,,,
32.32,52950,29439,188.5,BULK SPIRIT,17601,12.16,9355501,357984000,3FXY2,Bulk Carrier
23.03,16578,11943,144.1,STEN ARNOLD,5131,8.9,9371610,255915983,CQ2441,Chemical/Products Tanker
15.3,6200,4112,107.05,AASHEIM,2267,6.23,9247106,255769000,CQLJ,Aggregates Carrier
23.04,16635,11935,144.21,STAVFJORD,5129,8.9,9401544,259888000,LAHA7,Chemical/Products Tanker
24,16716,11233,144,ERIN SCHULTE,5041,8.8,9439814,235070283,2BXS4,Chemical/Products Tanker
13.63,4170,2818,91.46,TOLLUND,1540,5.81,9088287,,SNNG,General Cargo Ship
15.73,4260,3817,97.7,SILVER BREEZE,1446,6,9140932,257962000,LAHP6,Refrigerated Cargo Ship
14.99,8661,5065,119.49,ARKLOW BRAVE,2655,7.19,9638800,244730944,PBPR,General Cargo Ship
12.58,3697,2409,82.5,CAROLINA,993,5.34,9382748,245137000,PHMZ,General Cargo Ship
9.2,687,,54.4,DATTEIN (M1058),,3,,,,
59,213971,194849,399,MARIE MAERSK,89317,17,9619933,219018765,OWJF2,Container Ship (Fully Cellular)
,2521,1882,81,RUNNER,1020,4,9137193,636018343,D5PH5,General Cargo Ship
14,4496,2997,89.92,HIMMEL,1598,5.81,9518414,255802860,CQPW,General Cargo Ship
13.63,4170,2818,91.46,TOLLUND,1540,5.81,9088287,,SNNG,General Cargo Ship
14,4933,2999,89.99,FRI LIEPAJA,1639,6.1,9344514,212802000,5BTL6,General Cargo Ship
27.24,28220,17019,169.37,BRONCO,10108,9.82,9675717,636020932,5LBK9,Bulk Carrier
23.04,16635,11948,144.21,STAVFJORD,5129,8.9,9401544,259888000,LAHA7,Chemical/Products Tanker
14.5,7500,5044,125.79,OSTBENSE,2718,6.5,9566784,305631000,V2FC5,General Cargo Ship
30.05,35000,24210,180,HANZE GENUA,11614,10.1,9746970,244830401,PCZB,Bulk Carrier
43.83,115444,62929,249.85,APSOGOS,34548,14.93,9282053,636023696,5LOY8,Crude Oil Tanker
14.5,6050,4255,114.4,MIRJAM,2341,6.04,9454802,255806440,CQEO5,General Cargo Ship
13.6,4135,2774,89.72,AURELIE,1548,5.71,9163647,230039000,OJTD,General Cargo Ship
24,10100,4598,112.1,VISTA,1379,5.5,8884244,209000000,,"General Cargo Barge, non propelled"
23.64,34946,21387,199.9,IRYDA,11629,10.67,9180384,212891000,P3PA8,Bulk Carrier
14.5,6050,4255,114.4,NIKLAS G.,2341,6.03,9534303,305733000,V2FN6,General Cargo Ship
11.33,1631,1649,82.45,FREDO,715,3.71,8504208,211202400,DPCD,General Cargo Ship
15.43,6663,4871,118.55,KRISTIINA,2600,6.3,9187916,304188000,V2QX4,General Cargo Ship
61.3,224821,235341,399.99,OOCL PIRAEUS,70978,16.5,9908097,477886300,VRVG8,Container Ship (Fully Cellular)
23.04,16611,11943,144.35,STEN BOTHNIA,5133,8.9,9378735,259769000,LAEF7,Chemical/Products Tanker
23.6,7440,10471,153.45,LAKEWAY EXPRESS,3142,6.99,9183790,209188000,SBAV,Ro-Ro Cargo Ship
10.4,645,,60.3,KURSIS (M54),,,,,,
28.5,38098,26600,189.99,TIAN XI,11395,11.03,9704764,636019352,9V9250,General Cargo Ship
29,38098,26600,190,TIAN XI,11395,,9704764,636019352,9V9250,General Cargo Ship
26,2948,30277,181,NAUTICA,11481,5.97,9200938,538001665,V7DM4,Passenger/Cruise
22,8100,3620,94.08,Quanta,1086,5,,,,
20.5,1800,12969,159.1,STAR LEGEND,3023,5.4,9008598,311085000,C6FR6,Passenger/Cruise
29.6,31285,32245,204.29,CMA CGM RUNDALE,9673,10.019,9961300,256882000,9HA6015,Container Ship (Fully Cellular)
13,3269,2481,87.42,WILSON DVINA,1206,5.08,9005742,314220000,8PTC,General Cargo Ship
7.8,70,140,22.57,EMS POWER,42,3.16,9546954,255871000,CQWJ,Tug
32.3,55932,31238,189.99,AQUITANIA,18504,12.58,9300491,235050012,MADG,Bulk Carrier
32,60447,34507,199.99,DESERT HARRIER,19718,12.92,9756626,538007251,V7BM6,Bulk Carrier
10,20254,17982,169.95,CONTAINERSHIPS ARCTIC,9861,9.6,9818400,209717000,5BJD5,Container Ship (Fully Cellular)
15.87,11048,6621,132.5,KAIE,3448,7.8,9504102,305036000,V2QY7,General Cargo Ship
26.9,20254,17982,169.95,CONTAINERSHIPS ARCTIC,9861,9.6,9818400,209717000,5BJD5,Container Ship (Fully Cellular)
15.4,,,100.5,FGS WERRA,,4,,,,
6.81,28,115,25.43,SERWAL,29,2.5,7020994,261010380,SPS2065,Tug
14,3931,2978,89.95,PEAK BERGEN,1384,5.54,9544932,246399000,PBPY,General Cargo Ship
13.03,4439,2997,99.9,RIX LAGOON,1741,5.68,9192624,210046000,5BTE5,General Cargo Ship
27.8,25900,17370,157,KAISHUU,5211,9.7,9226152,253082000,LXHK,Trailing Suction Hopper Dredger
13,3269,2481,87.49,WILSON DVINA,1206,5.07,9005742,314220000,8PTC,General Cargo Ship
32.24,39855,27452,183.21,THEANOULA,9847,10.52,9935557,311001055,C6FA7,Chemical/Products Tanker
14.5,6050,4255,114.4,MIRJAM,2341,6.04,9454802,255806440,CQEO5,General Cargo Ship
15.6,4995,3308,99.84,ALAND,1503,6.1,9487380,249581000,9HA4298,Chemical/Products Tanker
20,16861,9999,149.5,ARKLOW WAVE,5155,8.59,9818931,250005382,EIUQ9,General Cargo Ship
15.4,5350,3550,89.97,BEE,1591,6.32,9506588,,D5HO5,General Cargo Ship
11.8,3587,2281,88.97,JADE,1229,5.4,9411769,246724000,PCDI,General Cargo Ship
24.69,18457,14072,154.52,FREDERIK,5525,9.5,9328637,304374000,V2HB4,Container Ship (Fully Cellular)
42,107157,58667,243.8,SCORPIO,32391,15.12,9389071,319129600,ZGHE8,Crude Oil Tanker
44.02,115281,64321,249.9,DALI,35322,15,9787936,319147800,ZGHZ3,Crude/Oil Products Tanker
26.08,23650,19955,160,HAAGA,7653,10,9797632,230683000,OJSS,General Cargo Ship
12.62,3196,2415,86,CONSTANCE,1036,5.3,9505338,236622000,ZDKL7,General Cargo Ship
21.64,15012,12743,143.1,HAPPY PEREGRINE,3823,9.5,9553660,219558000,OWWQ2,LPG Tanker
11.8,3587,2281,88.97,JADE,1229,5.4,9411769,246724000,PCDI,General Cargo Ship
32,65490,50686,292,MAESRK GARONNE,27543,13,9235579,,,Container Ship (Fully Cellular)
